signal_id,week,workflow_id,source,customer_account,theme,user_need,volume,severity,confidence,product_interpretation
SIG-001,2026-W13,MHA007,Partner QBR,Evergreen Community Care,Referral dead end,Patient had a route but the clinic could not accept the referral.,35,4,0.86,Treat as triage evidence for Assessment completion recovery.
SIG-002,2026-W17,MHA003,Partner QBR,Metro Access Clinic,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",9,9,0.65,Treat as roadmap input for US clinic launch readiness checklist.
SIG-003,2026-W15,MHA008,Mixpanel cohort readout,Pacific Youth Counseling,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",6,9,0.65,Treat as roadmap input for Mixpanel event taxonomy repair.
SIG-004,2026-W10,MHA009,User interview,Pacific Youth Counseling,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",30,9,0.72,Treat as roadmap input for CS bug and scope intake triage.
SIG-005,2026-W07,MHA002,Mixpanel cohort readout,Pacific Youth Counseling,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,35,3,0.59,Treat as triage evidence for Therapy referral capacity matching.
SIG-006,2026-W07,MHA002,Customer success note,Metro Access Clinic,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,4,7,0.72,Treat as roadmap input for Therapy referral capacity matching.
SIG-007,2026-W17,MHA001,Support ticket,Heartland Therapy Network,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,28,4,0.67,Treat as triage evidence for Digital self-referral intake routing.
SIG-008,2026-W13,MHA004,Partner QBR,Metro Access Clinic,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,8,6,0.85,Treat as triage evidence for Referral status sync into partner EHR.
SIG-009,2026-W18,MHA001,Mixpanel cohort readout,Pacific Youth Counseling,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,5,3,0.8,Treat as triage evidence for Digital self-referral intake routing.
SIG-010,2026-W10,MHA006,Customer success note,Pacific Youth Counseling,Event name drift,PM could not compare funnel steps across partner launches.,24,8,0.7,Treat as roadmap input for Clinic admin referral queue.
SIG-011,2026-W14,MHA005,Customer success note,Pacific Youth Counseling,Crisis escalation clarity,Reviewer needed sharper reason codes for high-risk language.,29,7,0.82,Treat as roadmap input for Crisis keyword escalation loop.
SIG-012,2026-W13,MHA009,User interview,Evergreen Community Care,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,40,8,0.72,Treat as roadmap input for CS bug and scope intake triage.
SIG-013,2026-W17,MHA009,Partner QBR,Heartland Therapy Network,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",34,3,0.92,Treat as triage evidence for CS bug and scope intake triage.
SIG-014,2026-W18,MHA007,Partner QBR,Heartland Therapy Network,Event name drift,PM could not compare funnel steps across partner launches.,29,5,0.59,Treat as triage evidence for Assessment completion recovery.
SIG-015,2026-W10,MHA003,User interview,Canyon County Mental Health,Status reconciliation,Clinic admin could not tell whether product status matched the EHR.,19,7,0.83,Treat as roadmap input for US clinic launch readiness checklist.
SIG-016,2026-W16,MHA003,User interview,Evergreen Community Care,Partner launch confusion,"Implementation team needed one answer on consent, routing, and reporting setup.",16,9,0.6,Treat as roadmap input for US clinic launch readiness checklist.
SIG-017,2026-W10,MHA008,Partner QBR,Pacific Youth Counseling,Event name drift,PM could not compare funnel steps across partner launches.,22,3,0.93,Treat as triage evidence for Mixpanel event taxonomy repair.
SIG-018,2026-W17,MHA009,User interview,Pacific Youth Counseling,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,34,4,0.82,Treat as triage evidence for CS bug and scope intake triage.
SIG-019,2026-W14,MHA006,Partner QBR,Metro Access Clinic,Assessment pause anxiety,Patient did not know whether answers were saved after pausing intake.,29,7,0.9,Treat as roadmap input for Clinic admin referral queue.
