action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,ACC003,automate,11,19.8,In Review
ACT0002,ACC008,prioritize,2,11.0,In Review
ACT0003,ACC004,validate,23,8.6,Proposed
ACT0004,ACC035,validate,37,22.1,In Review
ACT0005,ACC030,monitor,7,6.4,Proposed
ACT0006,ACC034,monitor,14,17.9,Complete
ACT0007,ACC024,automate,35,3.8,Complete
ACT0008,ACC035,escalate,27,3.2,In Review
ACT0009,ACC013,automate,40,18.1,Proposed
ACT0010,ACC017,escalate,3,21.2,Proposed
ACT0011,ACC036,prioritize,3,15.0,Complete
ACT0012,ACC033,monitor,22,15.6,Ready
ACT0013,ACC027,document,33,15.6,Complete
ACT0014,ACC022,monitor,6,4.5,Complete
ACT0015,ACC010,escalate,36,7.4,In Review
ACT0016,ACC020,validate,42,22.5,Proposed
ACT0017,ACC029,escalate,36,17.2,Proposed
ACT0018,ACC028,automate,22,10.7,Proposed
ACT0019,ACC012,monitor,38,5.5,Ready
ACT0020,ACC028,validate,26,3.8,Ready
ACT0021,ACC005,document,39,21.4,In Review
ACT0022,ACC025,validate,3,3.0,Ready
ACT0023,ACC031,monitor,20,22.0,Ready
ACT0024,ACC006,monitor,28,14.4,In Review
ACT0025,ACC036,document,36,6.8,Ready
ACT0026,ACC027,prioritize,8,9.7,Complete
ACT0027,ACC011,automate,7,10.1,Proposed
ACT0028,ACC014,escalate,41,19.2,Ready
ACT0029,ACC022,escalate,20,4.3,Ready
ACT0030,ACC025,document,41,5.3,Ready
ACT0031,ACC017,validate,36,4.4,Ready
ACT0032,ACC016,automate,13,12.6,In Review
ACT0033,ACC012,automate,33,22.2,Complete
ACT0034,ACC007,monitor,35,16.7,Complete
ACT0035,ACC021,document,39,3.1,In Review
ACT0036,ACC001,document,21,13.3,Ready
ACT0037,ACC010,escalate,17,10.6,In Review
ACT0038,ACC021,escalate,26,3.9,Ready
ACT0039,ACC025,automate,33,8.7,Complete
ACT0040,ACC017,automate,12,15.6,Proposed
ACT0041,ACC029,prioritize,3,5.9,Complete
ACT0042,ACC008,prioritize,12,16.0,Proposed
ACT0043,ACC016,monitor,25,11.6,In Review
ACT0044,ACC028,monitor,30,2.6,Proposed
ACT0045,ACC016,validate,17,15.1,Proposed
ACT0046,ACC006,prioritize,14,7.1,Complete
ACT0047,ACC035,document,21,14.8,Ready
ACT0048,ACC020,document,4,4.7,Ready
ACT0049,ACC033,escalate,2,12.8,In Review
ACT0050,ACC012,monitor,2,22.3,In Review
ACT0051,ACC025,automate,36,5.0,Complete
ACT0052,ACC025,escalate,20,12.5,Ready
ACT0053,ACC015,escalate,17,16.2,Complete
ACT0054,ACC022,validate,13,15.6,Complete
ACT0055,ACC020,prioritize,5,22.8,In Review
ACT0056,ACC032,validate,31,23.0,Proposed
ACT0057,ACC004,validate,4,8.1,Proposed
ACT0058,ACC028,validate,31,23.2,Complete
ACT0059,ACC011,validate,32,6.9,Complete
ACT0060,ACC007,automate,30,17.8,Complete
ACT0061,ACC030,validate,39,11.2,Ready
ACT0062,ACC034,document,13,7.3,Complete
ACT0063,ACC018,prioritize,42,16.2,Ready
ACT0064,ACC020,document,11,9.4,Ready
ACT0065,ACC010,monitor,22,9.2,Complete
ACT0066,ACC032,escalate,31,16.8,Proposed
ACT0067,ACC001,document,11,9.1,Ready
ACT0068,ACC013,validate,3,9.7,Proposed
ACT0069,ACC002,monitor,3,6.3,In Review
ACT0070,ACC023,monitor,3,15.9,Complete
ACT0071,ACC010,document,35,14.8,Complete
ACT0072,ACC011,prioritize,14,22.8,In Review
ACT0073,ACC026,validate,20,18.8,Ready
ACT0074,ACC009,monitor,29,11.2,Proposed
ACT0075,ACC021,monitor,42,19.8,In Review
ACT0076,ACC019,escalate,39,15.8,Proposed
ACT0077,ACC006,prioritize,24,16.7,Proposed
ACT0078,ACC009,escalate,9,19.4,Proposed
ACT0079,ACC007,automate,28,18.8,Complete
ACT0080,ACC028,validate,33,2.3,In Review
ACT0081,ACC018,document,15,14.9,In Review
ACT0082,ACC015,escalate,15,9.5,Proposed
ACT0083,ACC034,validate,12,3.4,In Review
ACT0084,ACC020,prioritize,6,5.9,Proposed
ACT0085,ACC001,automate,17,13.3,Complete
ACT0086,ACC005,prioritize,28,10.5,Complete
ACT0087,ACC027,prioritize,20,20.6,Ready
ACT0088,ACC005,monitor,14,5.3,Complete
ACT0089,ACC033,prioritize,17,19.1,Ready
ACT0090,ACC004,monitor,11,24.0,Complete
ACT0091,ACC007,prioritize,28,18.4,Proposed
ACT0092,ACC025,prioritize,3,12.7,In Review
ACT0093,ACC029,automate,19,13.8,Ready
ACT0094,ACC008,monitor,34,8.8,Complete
ACT0095,ACC031,validate,40,17.3,Proposed
ACT0096,ACC022,escalate,15,2.6,Proposed
ACT0097,ACC013,monitor,30,23.3,Ready
ACT0098,ACC001,validate,25,8.3,Ready
ACT0099,ACC014,automate,22,6.3,Proposed
ACT0100,ACC035,validate,26,7.6,Complete
ACT0101,ACC024,automate,34,9.5,In Review
ACT0102,ACC033,validate,40,13.0,Complete
ACT0103,ACC019,automate,28,3.5,Complete
ACT0104,ACC012,automate,27,21.3,Complete
ACT0105,ACC021,automate,14,16.6,Ready
ACT0106,ACC010,escalate,42,17.2,Complete
ACT0107,ACC001,prioritize,7,20.6,In Review
ACT0108,ACC003,document,14,13.8,Ready
ACT0109,ACC036,monitor,40,15.8,Complete
ACT0110,ACC032,validate,27,4.3,Ready
ACT0111,ACC028,automate,20,8.5,Proposed
ACT0112,ACC028,validate,14,19.1,In Review
ACT0113,ACC006,escalate,7,2.8,Ready
ACT0114,ACC008,validate,26,21.2,Proposed
ACT0115,ACC017,monitor,7,18.0,Complete
ACT0116,ACC032,automate,19,17.0,Proposed
ACT0117,ACC026,monitor,31,23.4,In Review
ACT0118,ACC004,escalate,11,23.5,Complete
ACT0119,ACC007,monitor,13,3.9,Complete
ACT0120,ACC033,validate,32,18.9,Ready
ACT0121,ACC009,escalate,19,8.3,Complete
